movie_id,person_id
tt0114709,nm0005124
tt0113497,nm0002653
tt0113228,nm0222043
tt0114885,nm0001845
tt0113041,nm0796124
tt0113277,nm0000520
tt0114319,nm0001628
tt0112302,nm0382072
tt0114576,nm0001382
tt0113189,nm0132709
tt0112346,nm0001661
tt0112896,nm0000316
tt0112453,nm0920425
tt0113987,nm0000231
tt0112760,nm0001317
tt0112641,nm0000217
tt0114388,nm0000487
tt0113101,nm0025978
tt0113101,nm0734319
tt0113101,nm0001675
tt0113101,nm0000233
tt0113101,nm0005062
tt0112281,nm0644203
tt0113845,nm0747849
tt0113161,nm0001756
tt0112722,nm0000750
tt0112401,nm0001149
tt0114168,nm0759207
tt0113627,nm0001214
tt0114057,nm0662529
tt0114011,nm0322128
tt0112682,nm0001988
tt0112682,nm0000466
tt0115012,nm0955443
tt0112792,nm0808807
tt0114746,nm0000416
tt0114952,nm0000269
tt0112431,nm0003088
tt0112637,nm0358960
tt0112818,nm0000209
tt0112286,nm0522844
tt0113442,nm0855035
tt0112697,nm0002132
tt0112749,nm0740213
tt0114279,nm0518644
tt0112819,nm0400436
tt0112819,nm0400441
tt0114272,nm0001355
tt0113855,nm0027271
tt0114681,nm0001814
tt0113347,nm0602104
tt0114369,nm0000399
tt0114148,nm0300265
tt0114148,nm0325196
tt0114916,nm0005390
tt0114814,nm0001741
tt0113819,nm0000095
tt0110299,nm0002167
tt0112499,nm0805965
tt0113158,nm0343260
tt0113541,nm0864016
tt0113321,nm0000149
tt0110877,nm0705535
tt0110877,nm0873385
tt0112714,nm0503215
tt0113419,nm0000568
tt0116260,nm0772259
tt0113862,nm0378893
tt0116126,nm0054077
tt0118002,nm0071611
tt0115683,nm0089176
tt0116839,nm0542752
tt0114753,nm0001226
tt0113149,nm0001929
tt0113118,nm0336620
tt0116367,nm0001675
tt0113010,nm0802617
tt0113537,nm0000876
tt0113828,nm0500988
tt0115644,nm0325533
tt0115676,nm0591171
tt0114367,nm0240995
tt0113973,nm0644467
tt0112744,nm0000576
tt0116731,nm0001270
tt0112445,nm0070159
tt0114660,nm0001219
tt0112379,nm0331296
tt0114039,nm0005347
tt0113612,nm0415617
tt0112365,nm0351993
tt0118158,nm0000631
tt0116151,nm0477129
tt0115697,nm0790715
tt0113972,nm0000824
tt0113490,nm0241090
tt0117002,nm0001241
tt0114825,nm0000127
tt0115639,nm0001130
tt0115759,nm0000247
tt0113403,nm0000110
tt0113247,nm0440913
tt0111173,nm0027271
tt0115907,nm0000887
tt0115734,nm0027572
tt0117102,nm0145309
tt0118040,nm0001093
tt0116483,nm0240797
tt0112579,nm0000142
tt0110251,nm0246903
tt0117110,nm0005008
tt0112646,nm0494889
tt0113276,nm0115500
tt0112573,nm0000154
tt0075314,nm0000217
tt0113326,nm0867262
tt0115645,nm0775447
tt0113774,nm0710372
tt0112556,nm0154055
tt0112373,nm0086282
tt0115033,nm0743239
tt0116606,nm0769703
tt0114536,nm0001112
tt0117427,nm0304395
tt0103859,nm0399737
tt0109424,nm0939182
tt0114808,nm0868153
tt0116324,nm0751102
tt0110647,nm0003423
tt0111055,nm0864741
tt0110217,nm0624516
tt0114131,nm0330057
tt0112364,nm0589182
tt0113107,nm0512327
tt0113451,nm0001243
tt0114015,nm0616305
tt0114500,nm0049878
tt0116130,nm0911486
tt0113125,nm0710900
tt0113756,nm0787257
tt0113952,nm0203993
tt0114618,nm0712994
tt0118055,nm0000816
tt0115685,nm0001566
tt0094878,nm0441072
tt0113200,nm0781341
tt0112585,nm0122653
tt0112442,nm0000881
tt0112342,nm0128883
tt0112461,nm0436284
tt0112427,nm0001565
tt0109093,nm0001325
tt0112384,nm0000165
tt0114287,nm0001994
tt0112288,nm0001206
tt0112462,nm0001708
tt0061395,nm0000320
tt0112495,nm0000958
tt0112541,nm0000808
tt0112541,nm0911061
tt0112541,nm0910905
tt0109370,nm0601619
tt0112642,nm0797869
tt0112688,nm0000490
tt0112715,nm0550881
tt0112740,nm0001716
tt0109508,nm0959062
tt0112851,nm0001675
tt0112857,nm0002083
tt0112864,nm0001532
tt0112887,nm0000777
tt0113044,nm0578757
tt0113071,nm0958387
tt0113114,nm0514546
tt0113243,nm0812200
tt0113464,nm2259353
tt0113481,nm0519434
tt0113492,nm0134176
tt0113500,nm0287198
tt0113540,nm0164187
tt0113677,nm0001139
tt0113690,nm0000850
tt0107447,nm0000780
tt0113729,nm0000944
tt0113749,nm0003620
tt0113820,nm0818465
tt0113851,nm0000770
tt0110604,nm0909026
tt0110620,nm0021899
tt0113957,nm0005563
tt0113986,nm0001060
tt0114095,nm0902939
tt0114194,nm0927074
tt0114241,nm0720000
tt0114323,nm0001331
tt0114345,nm0423646
tt0114435,nm0005367
tt0114436,nm0000682
tt0114478,nm0911061
tt0114496,nm0002120
tt0114508,nm0002044
tt0114534,nm0005077
tt0114558,nm0000941
tt0058450,nm0218840
tt0114666,nm0834338
tt0114663,nm0004838
tt0114702,nm0002140
tt0114682,nm0452319
tt0114781,nm0614276
tt0114798,nm0000473
tt0114805,nm0444857
tt0114887,nm0000778
tt0114898,nm0721817
tt0114928,nm0620290
tt0114938,nm0001353
tt0109340,nm0001214
tt0112602,nm0066439
tt0111579,nm0586482
tt0110882,nm0541391
tt0112471,nm0000500
tt0112508,nm0205542
tt0112438,nm0272704
tt0112571,nm0006889
tt0112757,nm0005022
tt0112679,nm0640466
tt0109445,nm0003620
tt0112883,nm0505230
tt0109635,nm0001469
tt0109676,nm0000824
tt0112854,nm0052944
tt0109579,nm0000591
tt0109642,nm0000431
tt0109686,nm0268380
tt0109686,nm0125803
tt0111797,nm0000487
tt0109759,nm0000382
tt0109758,nm0005190
tt0109707,nm0000318
tt0113117,nm0001410
tt0113097,nm0000345
tt0113028,nm0097491
tt0113198,nm0510674
tt0113303,nm0502577
tt0113089,nm0137363
tt0109771,nm0179216
tt0113199,nm0507502
tt0113234,nm0167029
tt0109906,nm0122344
tt0110057,nm0416945
tt0110005,nm0001392
tt0110066,nm0589168
tt0110116,nm0741262
tt0110006,nm0109359
tt0113360,nm0493369
tt0110099,nm0770961
tt0110148,nm0001403
tt0113463,nm0412465
tt0110189,nm0577849
tt0110216,nm0718645
tt0113501,nm0322865
tt0113538,nm0331998
tt0113552,nm0775447
tt0076759,nm0000184
tt0110367,nm0000788
tt0113670,nm0190859
tt0110296,nm0516360
tt0109731,nm0001031
tt0103994,nm0000778
tt0110322,nm0001880
tt0110443,nm0145309
tt0110365,nm0336695
tt0107566,nm0025978
tt0110391,nm0139111
tt0113691,nm0350455
tt0110428,nm0405336
tt0109836,nm0000110
tt0113755,nm0650561
tt0110538,nm0001188
tt0110516,nm0000907
tt0110527,nm0562645
tt0113808,nm0291205
tt0113896,nm0622695
tt0113870,nm0733692
tt0110684,nm0000914
tt0110638,nm0000776
tt0113967,nm0327064
